Label,Phrase
INFORMATION,I’ve attached
INFORMATION,I have attached
INFORMATION,Please find file attached
INFORMATION,I'm enclosing
INFORMATION,I am enclosing
INFORMATION,Please see the information below for more details about
INFORMATION,The parts in bold are my comments
INFORMATION,The parts in bold are the changes we made
INFORMATION,Here's the document that you asked for
INFORMATION,Here is the document that you asked for
INFORMATION,I’ve attached document for your review
INFORMATION,I have attached document for your review
INFORMATION,I'm sending you document as a pdf file
INFORMATION,I am sending you document as a pdf file
INFORMATION,The attached file contains
INFORMATION,Could you please sign the attached form and send it back to us by
INFORMATION,Here’s the document we discussed
INFORMATION,Here is the document we discussed
INFORMATION,Here is the
INFORMATION,file is attached
INFORMATION,Please take a look at the attached file
INFORMATION,Take a look at the file I've attached to this email
INFORMATION,Take a look at the file I have attached to this email
INFORMATION,I've attached file
INFORMATION,I have attached file
INFORMATION,Please note that
INFORMATION,Thank you for letting me know
INFORMATION,Thank you for the heads up
INFORMATION,Thank you for the notice
INFORMATION,Please note
INFORMATION,Thank you for sharing
INFORMATION,Thanks for keeping me in the loop
REMINDER,Quick reminder
REMINDER,Just a quick reminder that
REMINDER,Just a friendly reminder that
REMINDER,Just a quick heads up
REMINDER,Please keep me informed
REMINDER,Please keep me posted
REMINDER,Please keep me updated
EXPECTED,Looking forward to hearing from you soon.
EXPECTED,I look forward to hearing from you soon.
EXPECTED,Please let me know if this works
EXPECTED,Please let me know if you are available
EXPECTED,Please let me know if that sounds good
EXPECTED,Please let me know if you can
EXPECTED,Please let me know if you can help
EXPECTED,Please let me know if you need to reschedule
EXPECTED,I look forward to seeing you
EXPECTED,I look forward to meeting you
EXPECTED,See you on Thursday
EXPECTED,See you on next week
EXPECTED,Thanks
EXPECTED,Thank you in advance
EXPECTED,Thank you for everything
EXPECTED,Cheers
EXPECTED,Any feedback you can give me on this would be greatly
EXPECTED,Any feedback you can give me on this would be highly
EXPECTED,Any feedback you can give me on this would be much appreciated
EXPECTED,"If you could have it ready by tomorrow, I would really appreciate it."
EXPECTED,"If you could have it ready by end of next week, I would really appreciate it."
EXPECTED,I would appreciate your help in this matter
REQUEST,Could you please
REQUEST,Could you possibly tell me
REQUEST,Can you please fill out this form
REQUEST,I'd really appreciate it if you could
REQUEST,I would really appreciate it if you could
REQUEST,I'd be very grateful if you could
REQUEST,I would be very grateful if you could
REQUEST,It would be very helpful if you could send us
REQUEST,It would be very helpful if you could send me
REQUEST,I was wondering if you could
REQUEST,I was wondering if you would be able to
REQUEST,"If possible, I'd like to know more about"
REQUEST,"If possible, I would like to know more about"
REQUEST,Please find my two main questions below
CLARIFICATION,I didn't fully understand. Could you please explain that again
CLARIFICATION,I did not fully understand. Could you please explain that again
CLARIFICATION,I don't fully understand. Could you please explain that again
CLARIFICATION,I do not fully understand. Could you please explain that again
CLARIFICATION,I didn't quite get your point about. Could you be more specific
CLARIFICATION,I did not quite get your point about. Could you be more specific
CLARIFICATION,Could you repeat what you said about
CLARIFICATION,Could you give us some more details on
CLARIFICATION,"If you could please shed some light on this topic, I would really appreciate it."
CLARIFICATION,Could you please clarify
CLARIFICATION,Could you please clarify when you would like us to finish this
CLARIFICATION,When exactly are you expecting to have this feature
CLARIFICATION,Here are the details on
CLARIFICATION,Could you please clarify what you would like us to do about
CLARIFICATION,"If I understood you correctly, you would like me to"
CLARIFICATION,What exactly do you mean by
CLARIFICATION,Could you explain what you mean by
CLARIFICATION,"In other words, would you like us to"
